Designator,Mid X,Mid Y,Rotation,Layer
5.1K1,289.4,-38.65,180.0,top
5.1K2,279.218668,-35.638728,0.0,top
D_1,103.0,-56.5,180.0,top
D_10,229.0,-56.5,180.0,top
D_11,243.0,-56.5,180.0,top
D_12,257.0,-56.5,180.0,top
D_13,271.0,-56.5,180.0,top
D_14,299.0,-56.5,180.0,top
D_15,103.0,-51.5,180.0,top
D_16,131.0,-51.5,180.0,top
D_17,145.0,-51.5,180.0,top
D_18,159.0,-51.5,180.0,top
D_19,173.0,-51.5,180.0,top
D_2,117.0,-56.5,180.0,top
D_20,187.0,-51.5,180.0,top
D_21,201.0,-51.5,180.0,top
D_22,215.0,-51.5,180.0,top
D_23,229.0,-51.5,180.0,top
D_24,243.0,-51.5,180.0,top
D_25,257.0,-51.5,180.0,top
D_26,271.0,-51.5,180.0,top
D_27,285.0,-51.5,180.0,top
D_28,299.0088,-51.562,180.0,top
D_29,103.0,-46.5,180.0,top
D_3,131.0,-56.5,180.0,top
D_30,131.0,-46.5,180.0,top
D_31,145.0,-46.5,180.0,top
D_32,159.0,-46.5,180.0,top
D_33,173.0,-46.5,180.0,top
D_34,187.0,-46.5,180.0,top
D_35,201.0,-46.5,180.0,top
D_36,215.0,-46.5,180.0,top
D_37,229.0,-46.5,180.0,top
D_38,243.0,-46.5,180.0,top
D_39,257.0,-46.5,180.0,top
D_4,145.0,-56.5,180.0,top
D_40,271.0,-46.5,180.0,top
D_41,285.0,-46.5,180.0,top
D_42,299.0,-46.5,180.0,top
D_43,103.0,-41.5,180.0,top
D_44,117.0,-41.5,180.0,top
D_45,131.0,-41.5,180.0,top
D_46,145.0,-41.5,180.0,top
D_47,159.0,-41.5,180.0,top
D_48,173.0,-41.5,180.0,top
D_49,187.0,-41.5,180.0,top
D_5,159.0,-56.5,180.0,top
D_50,201.0,-41.5,180.0,top
D_51,215.0,-41.5,180.0,top
D_52,229.0,-41.5,180.0,top
D_53,243.0,-41.5,180.0,top
D_54,257.0,-41.5,180.0,top
D_55,271.0,-41.5,180.0,top
D_56,103.0,-36.5,180.0,top
D_57,117.0,-36.5,180.0,top
D_58,145.0,-36.5,180.0,top
D_59,187.0,-36.5,180.0,top
D_590,173.0005,-36.5073,180.0,top
D_591,201.004,-36.5073,180.0,top
D_6,173.0,-56.5,180.0,top
D_60,243.0,-36.5,180.0,top
D_61,257.0,-36.5,180.0,top
D_62,271.0,-36.5,180.0,top
D_63,299.0,-43.3,180.0,top
D_64,301.65,-48.2,90.0,top
D_7,187.0,-56.5,180.0,top
D_8,201.0,-56.5,180.0,top
D_9,215.0,-56.5,180.0,top
J1,305.5,-47.95,0.0,top
K_1,85.525,-74.525,0.0,top
K_10,256.975,-74.525,0.0,top
K_11,276.025,-74.525,0.0,top
K_12,295.075,-74.525,0.0,top
K_13,314.125,-74.525,0.0,top
K_14,342.7,-74.525,0.0,top
K_15,90.2875,-93.575,0.0,top
K_16,114.1,-93.575,0.0,top
K_17,133.15,-93.575,0.0,top
K_18,152.2,-93.575,0.0,top
K_19,171.25,-93.575,0.0,top
K_2,104.575,-74.525,0.0,top
K_20,190.3,-93.575,0.0,top
K_21,209.35,-93.575,0.0,top
K_22,228.4,-93.575,0.0,top
K_23,247.45,-93.575,0.0,top
K_24,266.5,-93.575,0.0,top
K_25,285.55,-93.575,0.0,top
K_26,304.6,-93.575,0.0,top
K_27,323.65,-93.575,0.0,top
K_28,347.45,-93.55,270.0,top
K_29,340.3,-112.6,90.0,top
K_3,123.625,-74.525,0.0,top
K_30,92.66875,-112.625,0.0,top
K_31,118.8625,-112.625,0.0,top
K_32,137.9125,-112.625,0.0,top
K_33,156.9625,-112.625,0.0,top
K_34,176.0125,-112.625,0.0,top
K_35,195.0625,-112.625,0.0,top
K_36,214.1125,-112.625,0.0,top
K_37,233.1625,-112.625,0.0,top
K_38,252.2125,-112.625,0.0,top
K_39,271.2625,-112.625,0.0,top
K_4,142.675,-74.525,0.0,top
K_40,290.3125,-112.625,0.0,top
K_41,309.3625,-112.625,0.0,top
K_42,328.4125,-112.625,90.0,top
K_43,349.84375,-103.075,90.0,top
K_44,97.4,-131.7,180.0,top
K_45,87.90625,-131.675,0.0,top
K_46,109.3375,-131.675,0.0,top
K_47,128.3875,-131.675,0.0,top
K_48,147.4375,-131.675,0.0,top
K_49,166.4875,-131.675,0.0,top
K_5,161.725,-74.525,0.0,top
K_50,185.5375,-131.675,0.0,top
K_51,204.5875,-131.675,0.0,top
K_52,223.6375,-131.675,0.0,top
K_53,242.6875,-131.675,0.0,top
K_54,261.7375,-131.675,0.0,top
K_55,280.7875,-131.675,0.0,top
K_56,299.8375,-131.675,0.0,top
K_57,335.55625,-131.675,0.0,top
K_58,87.90625,-150.725,0.0,top
K_59,111.71875,-150.725,0.0,top
K_6,180.775,-74.525,0.0,top
K_60,135.53125,-150.725,0.0,top
K_61,206.96875,-150.725,0.0,top
K_610,166.4875,-150.725,0.0,top
K_612,247.4498,-150.725,0.0,top
K_62,278.40625,-150.725,0.0,top
K_63,302.21875,-150.725,0.0,top
K_64,326.03125,-150.725,0.0,top
K_65,349.84375,-150.725,0.0,top
K_7,199.825,-74.525,0.0,top
K_8,218.875,-74.525,0.0,top
K_9,237.925,-74.525,0.0,top
SW1,358.7,-74.5,90.0,top
U1,334.0,-51.75,270.0,top
USB1,301.325,-37.3,180.0,top
